Ticker  Quantity  TransactionPrice  TotalAmount  Action  Type  Timing  Date Time
GOOG  2  2588.05  5176.10  1  1  1  2022/02/22 23:26:21
MSFT  4  287.72  1150.88  1  1  1  2022/02/22 23:26:28
GE  45  94.15  4236.75  1  1  1  2022/02/22 23:26:36
GE  22  94.15  2071.30  2  1  1  2022/02/22 23:26:52
PFE  9  47.53  427.77  1  1  1  2022/02/22 23:27:06
SWTSX  10  73.93  739.30  1  1  1  2022/02/22 23:27:21
SDOG  4  53.9814  215.93  1  1  1  2022/02/22 23:27:32
TSLA  6  821.53  4929.18  1  1  1  2022/02/22 23:27:48
TSLA  5  821.53  4107.65  1  1  1  2022/02/22 23:29:57
GOOG  5  2588.05  12940.25  1  1  1  2022/02/22 23:32:13
MCD  25  252.7  6317.50  1  1  1  2022/02/23 00:00:43
MCD  4  252.7  1010.80  2  1  1  2022/02/23 00:00:52
MCD  2  252.7  505.40  1  1  1  2022/02/23 00:01:06
GE  5  94.15  470.75  1  1  1  2022/02/23 00:22:03
